NOC,Predicted_Gold,Predicted_Silver,Predicted_Bronze
Afghanistan,1.4933647,1.4350092,0.48601034
Albania,1.361403,1.3684489,0.39703923
Algeria,1.237624,0.8871782,0.32753494
Argentina,1.3616118,0.97375965,0.38042274
Argentina ,1.3364856,1.0880637,0.37179285
Armenia,1.3981254,1.1856458,0.41452911
Australasia,1.2132066,0.8235854,0.32703036
Australia,1.4007082,1.0535284,0.41465214
Australia ,1.5117211,1.2778292,0.49951178
Austria,1.355705,0.95479465,0.3996811
Austria ,1.1580185,0.47219795,0.20700127
Azerbaijan,1.1667364,0.4927662,0.22304854
Bahamas,1.1579491,0.50036603,0.22373544
Bahrain,1.1436254,0.4502179,0.21392788
Barbados,1.1957208,0.6146319,0.24086556
Belarus,1.3700186,1.0625741,0.37565884
Belgium,1.5974815,1.689845,0.5654508
Belgium ,1.6077757,1.7956227,0.58123285
Bermuda,1.5427405,1.5087093,0.53953487
Bohemia,1.5647492,1.7311709,0.5827328
Botswana,1.5486989,1.8862377,0.61527765
Brazil,1.6187806,1.8708735,0.62894666
Brazil ,1.6113428,1.8162158,0.6112706
British West Indies ,1.5073498,1.4963942,0.49993375
Bulgaria,1.472196,1.3928068,0.45093274
Bulgaria ,1.2880104,0.9059228,0.30065763
Burkina Faso,1.2839072,0.8810823,0.29973045
Burundi,1.2893282,0.7716272,0.30019048
Cabo Verde,1.3995945,1.0296044,0.37744278
Cameroon,1.6770954,1.7751737,0.6128576
Canada,1.1567557,0.42092037,0.21025126
Canada ,1.1460284,0.4228621,0.21103477
Ceylon,1.15096,0.39923447,0.2057102
Chile,1.1440501,0.45474386,0.20597316
China,1.1581957,0.45276967,0.22093084
Chinese Taipei,1.2186215,0.64600104,0.27551892
Colombia,1.223101,0.7428829,0.29527554
Costa Rica,1.2120275,0.7276501,0.2811409
Croatia,1.4643855,1.1554191,0.45549163
Cuba,1.4649991,1.3250797,0.4726834
Cyprus,1.3810081,1.260294,0.42373148
Czech Republic,1.4569283,1.5102206,0.52476066
Czechoslovakia,1.4723368,1.5694914,0.5770854
Czechoslovakia ,1.4476659,1.8046522,0.61335844
Denmark,1.4319717,1.6985137,0.5535468
Denmark ,1.4239882,1.5541052,0.51645976
Djibouti,1.5940909,1.5704267,0.56381315
Dominica,1.6395209,1.9510517,0.6393939
Dominican Republic,1.3846263,1.459016,0.47501293
East Germany,1.3523569,1.2675598,0.42625466
Ecuador,1.3168452,1.0808041,0.37648758
Egypt,1.4800414,1.3498044,0.46605575
Egypt ,1.4631498,1.2730539,0.4618411
Eritrea,1.3580579,1.028111,0.3883648
Estonia,1.2439361,0.75387114,0.2994709
Ethiopia,1.1973681,0.53734493,0.2398241
Ethiopia ,1.2448417,0.6677294,0.27752745
FR Yugoslavia,1.2125086,0.5640272,0.25410545
Fiji,1.2293822,0.65435135,0.26898864
Finland,1.2780812,0.75624686,0.31452954
Finland ,1.2320564,0.80649805,0.30963528
Formosa ,1.2165185,0.7903059,0.31353724
France,1.2029723,0.6688555,0.28254867
France ,1.2249565,0.6914482,0.2921606
Gabon,1.2143598,0.5932988,0.26447043
Georgia,1.1887317,0.52157617,0.2455716
Germany,1.195092,0.5560571,0.2500928
Germany ,1.2094098,0.64392674,0.27768186
Ghana,1.2147677,0.62672776,0.28532428
Ghana ,1.2711842,0.6515281,0.28071088
Great Britain,1.3675095,0.9526003,0.339811
Great Britain ,1.6244031,1.7262236,0.5728195
Greece,1.5682263,1.5114595,0.53931326
Greece ,1.5302317,1.4682517,0.53339475
Grenada,1.5874531,1.6623385,0.5981712
Guatemala,1.4219912,1.6091771,0.53620005
Guyana,1.2007601,0.9389085,0.33921072
Haiti,1.2103016,0.7160081,0.2937614
Hong Kong,1.2199404,0.7031426,0.26454008
Hungary,1.2030661,0.63025385,0.27704877
Hungary ,1.2119695,0.69256985,0.2821922
Iceland,1.2066548,0.5917245,0.25983956
Independent Olympic Athletes,1.2714341,0.74657774,0.30072832
Independent Olympic Participants,1.2364672,0.7369598,0.29564935
India,1.1705838,0.6376593,0.2661679
India ,1.2952943,0.6929471,0.31593105
Indonesia,1.3378885,0.81355953,0.36217943
Iran,1.2798094,0.8869542,0.3427609
Iran ,1.2770821,0.9628111,0.341778
Iraq ,1.2747259,0.68563616,0.2952757
Ireland,1.324463,0.7773911,0.32883146
Ireland ,1.4129589,1.1076828,0.40677968
Israel,1.297386,1.1615647,0.37708178
Italy,1.3226347,0.99561465,0.39337105
Italy ,1.1765176,0.6127802,0.24751891
Ivory Coast,1.1642298,0.62830716,0.23699397
Jamaica,1.2391331,0.6717878,0.25396284
Japan,1.302331,0.8212205,0.2901353
Japan ,1.5719094,1.439958,0.48823443
Jordan,1.5532007,1.3699205,0.4945848
Kazakhstan,1.4031484,1.246152,0.44411948
Kenya,1.4826404,1.5747414,0.5472646
Kosovo,1.2958252,1.1065996,0.39576244
Kuwait,1.4030552,1.6814308,0.544585
Kyrgyzstan,1.4231389,1.2614119,0.4713177
Latvia,1.2962878,1.2184792,0.3785487
Latvia ,1.4273342,1.1247516,0.42585108
Lebanon,1.256497,1.1318089,0.3826063
Lithuania,1.4652438,1.4353586,0.5534684
Luxembourg,1.6746137,1.9383699,0.66880035
Macedonia,1.3023758,1.0307466,0.45494318
Malaysia,1.2405676,0.8521682,0.34116086
Mauritius,1.2165729,0.8147354,0.32713094
Mexico,1.4246832,0.85744447,0.36176348
Mexico ,1.3708075,0.96557665,0.31632444
Moldova,1.4705476,1.0391833,0.4450355
Mongolia,1.320013,0.8611305,0.35762286
Montenegro,1.3746779,1.0099242,0.40662724
Morocco,1.4051442,0.98945475,0.4276638
Morocco ,1.2686987,0.82842565,0.3500846
Mozambique,1.1960008,0.61810565,0.28739035
Namibia,1.2036548,0.5962738,0.24189277
Netherlands,1.2085173,0.6231847,0.27256817
Netherlands Antilles,1.3224967,0.86042905,0.35965046
Netherlands ,1.3756964,0.97706527,0.40068978
New Zealand,1.3372946,0.8578947,0.35026568
New Zealand ,1.4714772,1.0943437,0.43876168
Niger,1.3503642,1.0085243,0.38166362
Nigeria,1.2591345,0.89634186,0.34945825
North Korea,1.3602446,1.0951569,0.42297947
North Macedonia,1.449681,1.5882243,0.515069
Norway,1.3117715,1.306969,0.54239506
Norway ,1.2770709,1.4260668,0.4571494
Pakistan,1.2477192,0.9667369,0.35646108
Pakistan ,1.6218357,1.6264569,0.5704669
Panama,1.5768247,1.5875645,0.55447954
Paraguay,1.5001758,1.6757987,0.5415714
Peru,1.4841529,1.3442943,0.44550464
Philippines,1.3230461,0.833421,0.34188983
Philippines ,1.3724191,1.277541,0.42313063
Poland,1.5647681,1.5640173,0.5435324
Poland ,1.2967277,0.9923485,0.36669922
Portugal,1.2558453,0.8686491,0.32912302
Portugal ,1.3414861,0.89487064,0.34708506
Puerto Rico,1.3794081,1.0085295,0.38384244
Qatar,1.2900939,0.80858576,0.32107204
ROC,1.2648492,0.7220178,0.3014011
Refugee Olympic Team,1.312516,0.8367907,0.33844495
Romania,1.3229661,0.8482894,0.34190542
Romania ,1.3190688,0.8201453,0.3360706
Russia,1.3489599,0.91897357,0.35730737
Russian Empire,1.3895209,1.0787734,0.39747298
Saint Lucia,1.3701553,1.0498533,0.38800836
Samoa,1.366517,1.043562,0.39452153
San Marino,1.5479921,1.4530574,0.5433118
Saudi Arabia,1.3929213,1.1750426,0.43492997
Senegal,1.390851,1.1880715,0.42507192
Serbia,1.3892047,1.1169033,0.41503164
Serbia and Montenegro,1.3647633,1.0741847,0.39249793
Singapore,1.3801193,1.0585394,0.4012255
Singapore ,1.3990914,1.1784638,0.42890298
Slovakia,1.3935225,1.1901084,0.4292193
Slovenia,1.4253024,1.2258846,0.4409391
South Africa,1.4243037,1.1866541,0.43562213
South Africa ,1.4575162,0.89861226,0.4112424
South Korea,1.3590435,1.2813904,0.40888807
Soviet Union,1.2096496,1.1403271,0.34559155
Soviet Union ,1.2239379,0.85448647,0.25925165
Spain,1.2969575,1.0227,0.41049364
Spain ,1.2860007,1.045828,0.40167847
Sri Lanka,1.2077874,0.8979494,0.32157877
Sudan,1.482524,1.6099823,0.53604794
Suriname,1.3235127,1.0763452,0.3899759
Sweden,1.266821,0.51500237,0.2703725
Sweden ,1.2524822,0.5238981,0.2806587
Switzerland,1.2560625,1.0694119,0.3353824
Switzerland ,1.2473954,1.040143,0.30269572
Syria,1.2122545,0.8031845,0.25164557
Taiwan,1.3530345,0.79247606,0.3281991
Tajikistan,1.3498806,0.803639,0.35027736
Tanzania,1.2537596,1.4417539,0.46827275
Thailand,1.375102,0.9299984,0.33695665
Togo,1.6758552,1.705984,0.59356827
Tonga,1.2279629,0.60715044,0.2746117
Trinidad and Tobago,1.2216579,0.68713784,0.32344517
Tunisia,1.2436044,0.7827201,0.35872307
Turkey,1.2574402,0.89379346,0.40903652
Turkey ,1.28236,1.040764,0.40490383
Turkmenistan,1.3824785,1.2499931,0.4778766
Uganda,1.3412678,1.0683682,0.40427345
Ukraine,1.3932573,1.2740641,0.47025818
Unified Team,1.4393859,1.4342934,0.5105368
United Arab Emirates,1.6457558,2.1646986,0.70351595
